,COMMODITY_DESC,GEOGRAPHY_DESC,UNIT_DESC,YEAR_ID,AMOUNT
237212,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,439121.0
237213,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,436174.0
253716,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,423380.0
257629,Beef and veal,Argentina,KG,2006,804034.0
257630,Beef and veal,Argentina,KG,2006,2431084.0
30130,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,81212.0
30131,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,224989.0
30155,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,77900.0
30156,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,39900.0
30157,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,46812.0
30158,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,81600.0
30209,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,172033.84172772
30210,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,146611.94861376
30211,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,718186.23869958
30212,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,477905.54513814
30213,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,230020.38277344
30214,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,213118.4938869
30265,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,50126.0
30266,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,81600.0
32524,Beef and veal,Argentina,CWE,2007,2255392.63686996
32525,Beef and veal,Argentina,CWE,2007,5896031.9276187
32526,Beef and veal,Argentina,CWE,2007,6970312.17301482
32527,Beef and veal,Argentina,CWE,2007,6217620.22694358
33950,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,32640.0
33951,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,32640.0
47572,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,294380.15532786
47573,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,207013.60896804
47697,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,552028.39803468
50855,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,74597.0
50856,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,87430.0
50915,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,458371.49190714
50916,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,69004.53632268
50917,"Corned beef, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,345022.68161340005
61493,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,528527.0
61494,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,462541.0
