,Unnamed: 0,Commodity,Country,UNIT_DESC,Year,AMOUNT,Metric Tons
46791,77159,Pork,Mexico,CWE,2007,2026.047618,91.90151995248002
46792,77160,Pork,Mexico,CWE,2007,11534.582304,523.20865330944
46793,77161,Pork,Mexico,CWE,2007,5178.657078,234.90388505808
46794,77162,Pork,Mexico,CWE,2007,5211.726408,236.40390986687999
46795,77539,Beef,Mexico,NO,2007,208.0,208.0
46796,77540,Beef,Mexico,NO,2007,12740.0,12740.0
46797,77541,Beef,Mexico,NO,2007,957.0,957.0
46798,82589,Pork,Mexico,CWE,2007,25384.37044752,1151.4350434995074
46799,82669,Pork,Mexico,KG,2007,23899.0,23.899
46800,82670,Pork,Mexico,KG,2007,9429.0,9.429
46801,82741,Pork,Mexico,KG,2007,22355.0,22.355
46802,82742,Pork,Mexico,KG,2007,8763.0,8.763
46803,82743,Pork,Mexico,KG,2007,14658.0,14.658
46804,83598,Pork,Mexico,KG,2007,1121.0,1.121
46805,83599,Pork,Mexico,KG,2007,3134.0,3.134
46806,83685,Pork,Mexico,CWE,2007,3723.606558,168.90279347088
46807,85696,Beef,Mexico,CWE,2007,205345.72424016,9314.482051533656
46808,85697,Beef,Mexico,CWE,2007,72669.94085988,3296.3085174041557
46809,85698,Beef,Mexico,CWE,2007,90919.75768344,4124.120208520838
46810,87438,Beef,Mexico,CWE,2007,169025.72319360002,7667.006804061695
46811,87439,Beef,Mexico,CWE,2007,170201.8890306,7720.357686428017
46812,90566,Pork,Mexico,KG,2007,30519.0,30.519
46813,90567,Pork,Mexico,KG,2007,25404.0,25.404
46814,90568,Pork,Mexico,KG,2007,12623.0,12.623
46815,90647,Pork,Mexico,CWE,2007,36358.626024,1649.2272764486395
46816,90726,Pork,Mexico,KG,2007,9926.0,9.926
46817,96827,Beef,Mexico,CWE,2007,15652.8162,710.011742832
46818,99050,Beef,Mexico,CWE,2007,130130.018172,5902.697624281919
46819,99051,Beef,Mexico,CWE,2007,128549.304198,5830.996438421279
46820,100969,Pork,Mexico,KG,2007,1197706.2586213,1197.7062586213
46821,100970,Pork,Mexico,KG,2007,1355079.98275948,1355.0799827594801
46822,100971,Pork,Mexico,KG,2007,1309900.98275937,1309.90098275937
46823,101811,Chicken,Mexico,KG,2007,7256.0,7.256
46824,101812,Chicken,Mexico,KG,2007,8435.0,8.435
46825,101813,Chicken,Mexico,KG,2007,39291.0,39.291
46826,101817,Chicken,Mexico,CWE,2007,76458.495582,3468.1573595995196
46827,103372,Beef,Mexico,CWE,2007,112775.233788,5115.48460462368
46828,103373,Beef,Mexico,CWE,2007,57130.57450800001,2591.4428596828798
46829,103483,Beef,Mexico,CWE,2007,7032.74418,319.0052760047999
46830,103484,Beef,Mexico,CWE,2007,155029.01904,7032.116303654399
46831,103485,Beef,Mexico,CWE,2007,60777.01929600001,2756.84559526656
46832,103629,Pork,Mexico,KG,2007,449886.0,449.88599999999997
46833,104517,Beef,Mexico,KG,2007,4608.0,4.6080000000000005
46834,104518,Beef,Mexico,KG,2007,18584.0,18.584
46835,104519,Beef,Mexico,KG,2007,35472.0,35.472
46836,104520,Beef,Mexico,KG,2007,29529.0,29.529
46837,104521,Beef,Mexico,KG,2007,17665.0,17.665
46838,104522,Beef,Mexico,KG,2007,36136.0,36.135999999999996
46839,110195,Beef,Mexico,KG,2007,8193.0,8.193
46840,113224,Beef,Mexico,CWE,2007,334533.751524,15174.450969128635
46841,113225,Beef,Mexico,CWE,2007,174479.25254256,7914.378895330521
46842,115266,Beef,Mexico,KG,2007,367161.0,367.161
46843,115267,Beef,Mexico,KG,2007,164101.0,164.101
46844,115268,Beef,Mexico,KG,2007,76989.0,76.98899999999999
46845,116849,Pork,Mexico,KG,2007,168203.0,168.203
46846,116850,Pork,Mexico,KG,2007,274254.0,274.254
46847,116851,Pork,Mexico,KG,2007,268970.0,268.97
46848,116852,Pork,Mexico,KG,2007,217217.0,217.217
46849,116853,Pork,Mexico,KG,2007,216338.0,216.338
46850,116854,Pork,Mexico,KG,2007,203410.0,203.41
46851,116946,Pork,Mexico,KG,2007,194099.0,194.099
46852,116947,Pork,Mexico,KG,2007,272778.0,272.778
46853,120671,Beef,Mexico,KG,2007,16765.0,16.765
46854,120924,Pork,Mexico,CWE,2007,47597.41419426,2159.0187078516337
46855,120925,Pork,Mexico,CWE,2007,24292.53140202,1101.909224395627
46856,120926,Pork,Mexico,CWE,2007,37548.76916448,1703.2121693008128
46857,120971,Pork,Mexico,KG,2007,2240.0,2.24
46858,120972,Pork,Mexico,KG,2007,4468.0,4.468
46859,120973,Pork,Mexico,KG,2007,13987.0,13.987
46860,122207,Beef,Mexico,KG,2007,59026.0,59.026
46861,122208,Beef,Mexico,KG,2007,58309.0,58.30900000000001
46862,122226,Beef,Mexico,KG,2007,70320.0,70.32000000000001
